ProductName,Sales,Inventory,Price
Set Of 2 Wooden Market Crates,526,785,21.47
Christmas Star Wish List Chalkboard,3502,1151,10.65
Storage Tin Vintage Leaf,739,1013,11.53
Tree T-Light Holder Willie Winkie,364,1459,10.65
Set Of 4 Knick Knack Tins Poppies,853,381,11.94
Bag 500g Swirly Marbles,1459,622,10.65
Joy Wooden Block Letters,232,511,11.53
Peace Wooden Block Letters,351,991,12.25
T-Light Holder Hanging Lace,840,720,10.65
T-Light Holder White Lace,588,322,10.55
Toy Tidy Spaceboy,1317,179,11.06
Grow Your Own Flowers Set Of 3,296,1246,12.25
Toy Tidy Dolly Girl Design,713,559,11.06
Set Of 3 Cake Tins Sketchbook,1022,1355,12.25
Set Of 6 Herb Tins Sketchbook,1169,824,11.53
Squarecushion Cover Pink Union Jack,245,118,11.53
36 Foil Star Cake Cases,1192,1677,11.06
Triple Wire Hook Pink Heart,79,539,11.06
36 Foil Heart Cake Cases,2055,27,11.06
Wood Stocking Christmas Scandispot,1571,1343,10.55
Pantry Magnetic Shopping List,3346,1281,11.53
Sketchbook Magnetic Shopping List,1492,1179,11.74
Bull Dog Bottle Opener,874,1040,15.32
Classic Cafe Sugar Dispenser,3292,795,11.53
Small Ceramic Top Storage Jar,5847,819,10.96
Medium Ceramic Top Storage Jar,78033,711,11.32
Large Ceramic Top Storage Jar,3118,228,11.74
Travel Card Wallet Pantry,2011,1103,10.68
Travel Card Wallet Skulls,2145,55,10.68
Travel Card Wallet Transport,3171,1542,10.68
Travel Card Wallet Keep Calm,12490,1077,10.68
Travel Card Wallet Retrospot,2197,1755,10.68
Hot Water Bottle I Am So Poorly,3522,1482,15.32
Alarm Clock Bakelike Ivory,2901,761,14.09
Alarm Clock Bakelike Pink,5364,1197,14.09
Alarm Clock Bakelike Red,7815,1748,14.09
Alarm Clock Bakelike Green,6439,1331,14.09
Set Of 3 Cake Tins Pantry Design,7493,1077,14.61
Grow A Flytrap Or Sunflower In Tin,16244,1305,11.34
French Wc Sign Blue Metal,1883,822,11.53
Recipe Box Retrospot,2901,362,12.86
Recipe Box Pantry Yellow Design,8297,1928,12.86
Circus Parade Lunch Box,3684,1626,12.25
Picnic Boxes Set Of 3 Retrospot,966,1170,15.32
Gumball Coat Rack,7962,176,12.86
Popcorn Holder,56921,637,10.99
Hot Water Bottle Tea And Sympathy,5796,1264,14.61
Chocolate Hot Water Bottle,6074,1268,15.32
Chocolate This Way Metal Sign,3773,595,12.4
Gin And Tonic Mug,2981,1787,11.74
Glamorous Mug,1296,1129,11.53
Save The Planet Mug,5454,550,11.74
Retrospot Large Milk Jug,1361,161,15.32
Fawn Blue Hot Water Bottle,3314,113,14.09
White Skull Hot Water Bottle,3919,1888,14.61
Door Hanger Mum + Dads Room,205,271,11.74
Set 3 Retrospot Tea/Coffee/Sugar,2133,1955,14.61
Please One Person Metal Sign,12305,1020,12.15
Gin And Tonic Diet Metal Sign,12225,209,12.38
You're Confusing Me Metal Sign,4424,355,11.74
Toxic Area Door Hanger,1465,463,10.65
Moody Boy Door Hanger,1127,1916,10.65
Moody Girl Door Hanger,1474,884,10.65
Red Retrospot Oven Glove,4035,1502,11.53
Large Chinese Style Scissor,1273,1800,11.12
Small Chinese Style Scissor,13328,1137,10.68
Small Folding Scissor(Pointed Edge),2892,1748,10.37
Hand Over The Chocolate Sign,8272,1225,12.15
Small Marshmallows Pink Bowl,3764,1749,10.68
Small Dolly Mix Design Orange Bowl,5085,858,10.68
Set Of 4 English Rose Coasters,1254,1357,11.53
N0 Singing Metal Sign,6014,1863,12.15
Toilet Metal Sign,3883,1769,10.81
Feng Shui Pillar Candle,3317,1609,10.44
Tea Time Oven Glove,2183,1059,11.53
English Rose Spirit Level,978,643,11.06
Vintage Doily Travel Sewing Kit,3970,1674,12.25
Blue Retro Kitchen Wall Clock,36,1218,18.6
Red Retro Kitchen Wall Clock,47,1577,18.6
Ivory Retro Kitchen Wall Clock,77,482,18.6
Hot Stuff Hot Water Bottle,631,1395,11.53
Set Of 12 Fairy Cake Baking Cases,8486,1973,11.1
Set Of Tea Coffee Sugar Tins Pantry,4805,1014,15.32
Set Of 4 Knick Knack Tins Doily,4186,1171,14.5
Doormat 3 Smiley Cats,1176,1026,17.51
Hanging Metal Heart Lantern,3427,734,11.06
12 Pencils Tall Tube Skulls,2156,728,11.12
12 Pencils Tall Tube Woodland,1976,662,11.12
Gingham Recipe Book Box,466,1392,15.32
Egg Frying Pan Red,431,1303,12.15
Single Heart Zinc T-Light Holder,6266,1783,11.53
Natural Slate Heart Chalkboard,9172,359,13.27
Heart Of Wicker Small,17971,432,11.94
Set Of 20 Vintage Christmas Napkins,8987,1843,11.12
Antique Silver Tea Glass Engraved,8706,1837,11.53
Playing Cards Keep Calm & Carry On,3646,1703,11.53
Ice Cream Bubbles,2688,394,11.1
Wall Art Only One Person,1062,1718,15.32
Childrens Cutlery Polkadot Blue,4068,1049,14.5
Childrens Cutlery Polkadot Pink,5424,1577,14.5
World War 2 Gliders Asstd Designs,55047,821,10.55
Feltcraft Princess Charlotte Doll,2375,1811,14.09
Feltcraft Girl Nicole Kit,737,126,15.32
Feltcraft Girl Amelie Kit,1114,1848,15.32
Poppy's Playhouse Bathroom,963,1160,12.4
Ribbon Reel Lace Design,1381,1687,12.4
Antique Silver T-Light Glass,19246,447,11.53
T-Light Glass Fluted Antique,8027,931,11.53
Aged Glass Silver T-Light Holder,10583,999,10.92
Picture Frame Wood Triple Portrait,1068,1518,17.17
Set 6 Paper Table Lantern Hearts,2333,601,14.09
Paper Bunting White Lace,4089,1247,13.27
Vintage Zinc Watering Can Small,18,396,15.32
Jumbo Shopper Vintage Red Paisley,12614,949,12.38
Red Woolly Hottie White Heart,4813,1913,14.61
Hand Warmer Union Jack,4867,942,12.4
Hot Water Bottle Keep Calm,5889,314,15.32
Knitted Union Flag Hot Water Bottle,3323,1946,14.61
Rotating Silver Angels T-Light Hldr,9485,1232,12.86
Rose Caravan Doorstop,566,200,12.25
Ceramic Strawberry Design Mug,1790,875,10.65
Red Retrospot Tea Cup And Saucer,855,1021,11.53
Ping Microwave Apron,509,1719,11.06
Empire Union Jack Tv Dinner Tray,882,892,12.25
Set Of 2 Round Tins Camembert,283,102,11.06
Set Of 2 Round Tins Dutch Cheese,254,735,11.06
Doorstop Football Design,153,687,11.06
Set Of 2 Tins Jardin De Provence,253,269,11.53
Jam Clock Magnet,330,89,11.53
Kneeling Mat Housework Design,1544,518,11.06
Wall Art Garden Haven,215,1808,12.25
